UTC Time,Temperature
2025/07/13,12:48:53,30.4375
2025/07/13,12:58:53,30.3125
2025/07/13,13:09:17,29.6250
2025/07/13,13:19:17,29.1250
2025/07/13,13:29:17,28.8125
2025/07/13,13:39:17,28.7500
2025/07/13,13:49:17,28.9375
2025/07/13,13:59:41,28.6875
2025/07/13,14:09:41,28.3750
2025/07/13,14:20:05,28.2500
2025/07/13,14:30:05,28.0000
2025/07/13,14:40:05,27.8125
2025/07/13,14:50:05,27.5625
2025/07/13,15:00:29,27.2500
2025/07/13,15:10:29,26.8750
2025/07/13,15:20:53,26.3125
2025/07/13,15:30:53,25.9375
2025/07/13,15:41:17,25.6250
2025/07/13,15:51:17,25.3125
2025/07/13,16:01:17,25.0625
2025/07/13,16:11:17,24.8125
2025/07/13,16:21:41,24.4375
2025/07/13,16:31:41,24.2500
2025/07/13,16:41:41,23.8750
2025/07/13,16:52:05,23.5000
2025/07/13,17:02:05,23.1250
2025/07/13,17:12:29,22.6250
2025/07/13,17:22:29,22.3125
2025/07/13,17:32:53,22.0000
2025/07/13,17:42:53,21.9375
2025/07/13,17:53:17,21.6250
2025/07/13,18:03:17,21.2500
2025/07/13,18:13:17,21.0000
2025/07/13,18:23:17,20.6250
2025/07/13,18:33:41,20.3125
2025/07/13,18:43:41,20.3125
2025/07/13,18:54:05,19.8125
2025/07/13,19:04:05,19.5000
2025/07/13,19:14:05,19.3750
2025/07/13,19:24:29,19.0625
2025/07/13,19:34:29,18.8125
2025/07/13,19:44:29,18.6250
2025/07/13,19:54:53,18.3750
2025/07/13,20:04:53,18.1875
2025/07/13,20:15:17,18.1875
2025/07/13,20:25:17,17.9375
2025/07/13,20:35:17,17.7500
2025/07/13,20:45:41,17.6250
2025/07/13,20:55:41,17.3750
2025/07/13,21:06:05,17.1875
2025/07/13,21:16:05,17.0625
2025/07/13,21:26:05,17.0000
2025/07/13,21:36:29,16.8750
2025/07/13,21:46:29,16.8125
2025/07/13,21:56:53,16.5625
2025/07/13,22:06:53,16.5625
2025/07/13,22:17:17,16.3750
2025/07/13,22:27:17,16.1250
2025/07/13,22:37:41,16.0625
2025/07/13,22:47:41,15.9375
2025/07/13,22:57:41,15.8750
2025/07/13,23:08:05,15.6875
2025/07/13,23:18:05,15.6250
2025/07/13,23:28:05,15.6250
2025/07/13,23:38:05,15.5625
2025/07/13,23:48:29,15.4375
2025/07/13,23:58:29,15.3125
2025/07/14,00:08:53,15.1875
2025/07/14,00:18:53,15.0625
2025/07/14,00:29:17,15.0000
2025/07/14,00:39:17,14.9375
2025/07/14,00:49:17,14.8125
2025/07/14,00:59:41,14.6875
2025/07/14,01:09:41,14.6250
2025/07/14,01:19:41,14.6250
2025/07/14,01:29:41,14.7500
2025/07/14,01:40:05,14.5000
2025/07/14,01:50:05,14.4375
2025/07/14,02:00:05,14.3125
2025/07/14,02:10:29,14.2500
2025/07/14,02:20:29,14.2500
2025/07/14,02:30:53,14.1875
2025/07/14,02:40:53,14.1250
2025/07/14,02:50:53,14.0625
2025/07/14,03:00:53,14.1250
2025/07/14,03:11:17,14.3750
2025/07/14,03:21:17,14.3125
2025/07/14,03:31:41,14.3750
2025/07/14,03:41:41,14.5625
2025/07/14,03:52:05,14.6875
2025/07/14,04:41:41,16.0625
2025/07/14,04:52:05,16.2500
2025/07/14,05:02:05,16.6250
2025/07/14,05:12:29,16.9375
2025/07/14,05:22:29,17.2500
2025/07/14,05:32:53,17.5625
2025/07/14,05:42:53,17.9375
2025/07/14,05:53:17,18.4375
2025/07/14,06:03:17,18.8125
2025/07/14,06:13:17,19.0000
2025/07/14,06:23:41,19.2500
2025/07/14,06:33:41,19.6250
2025/07/14,06:44:05,20.1875
2025/07/14,06:54:05,20.5000
2025/07/14,07:04:29,20.7500
2025/07/14,07:14:29,21.0625
2025/07/14,07:24:29,21.3750
2025/07/14,07:34:29,21.6250
2025/07/14,07:44:29,21.7500
2025/07/14,07:54:29,21.8750
2025/07/14,08:04:53,22.0000
2025/07/14,08:14:53,22.6250
2025/07/14,08:24:53,22.6250
2025/07/14,08:35:17,22.5625
2025/07/14,08:45:17,22.8125
2025/07/14,08:55:41,24.2500
2025/07/14,09:05:41,24.6250
2025/07/14,09:15:41,25.1875
2025/07/14,09:26:05,24.8750
2025/07/14,09:36:05,24.5625
2025/07/14,09:46:29,24.6875
2025/07/14,09:56:29,28.6875
2025/07/14,10:06:29,32.2500
2025/07/14,10:16:29,30.8125
2025/07/14,10:26:29,29.3125
2025/07/14,10:36:53,28.6250
2025/07/14,10:46:53,28.1250
2025/07/14,10:56:53,27.6250
2025/07/14,11:07:17,27.1250
2025/07/14,11:17:17,26.6875
2025/07/14,11:27:17,26.0625
2025/07/14,11:37:17,25.8125
2025/07/14,11:47:41,25.6250
2025/07/14,11:57:41,25.5625
2025/07/14,12:08:05,25.3125
2025/07/14,12:18:05,25.2500
2025/07/14,12:28:05,25.1875
2025/07/14,12:38:29,25.1250
2025/07/14,12:48:29,24.9375
2025/07/14,12:58:29,24.8750
2025/07/14,13:08:53,25.0000
2025/07/14,13:18:53,25.2500
2025/07/14,13:29:17,25.5000
2025/07/14,13:39:17,25.6250
2025/07/14,13:49:41,25.8125
2025/07/14,13:59:41,26.1875
2025/07/14,14:10:05,25.8125
2025/07/14,14:20:05,25.3125
2025/07/14,14:30:05,25.2500
2025/07/14,14:40:05,25.5000
2025/07/14,14:50:29,25.7500
2025/07/14,15:00:29,25.9375
2025/07/14,15:10:53,26.1250
2025/07/14,15:20:53,26.0625
2025/07/14,15:31:17,25.8125
2025/07/14,15:41:17,25.7500
2025/07/14,15:51:17,25.2500
2025/07/14,16:01:41,25.1875
2025/07/14,16:11:41,24.8750
2025/07/14,16:21:41,24.8125
2025/07/14,16:32:05,24.6250
2025/07/14,16:42:05,24.2500
2025/07/14,16:52:29,23.8750
2025/07/14,17:02:29,23.5625
2025/07/14,17:12:53,23.1875
2025/07/14,17:22:53,23.0000
2025/07/14,17:32:53,22.7500
2025/07/14,17:43:17,22.5000
2025/07/14,17:53:17,22.1875
2025/07/14,18:03:41,21.8125
2025/07/14,18:13:41,21.5000
2025/07/14,18:23:41,21.1875
2025/07/14,18:34:05,20.8125
2025/07/14,18:44:05,20.5625
2025/07/14,18:54:05,20.3125
2025/07/14,19:04:05,20.0000
2025/07/14,19:14:29,19.8750
2025/07/14,19:24:29,19.8750
2025/07/14,19:34:29,19.6250
2025/07/14,19:44:53,19.3750
2025/07/14,19:54:53,19.1875
2025/07/14,20:04:53,18.9375
2025/07/14,20:15:17,18.8125
2025/07/14,20:25:17,18.5625
2025/07/14,20:35:41,18.5625
2025/07/14,20:45:41,18.3750
2025/07/14,20:55:41,18.1875
2025/07/14,21:06:05,18.0000
2025/07/14,21:16:05,17.8750
2025/07/14,21:26:29,17.7500
2025/07/14,21:36:29,17.7500
2025/07/14,21:46:53,17.7500
2025/07/14,21:56:53,17.6250
2025/07/14,22:06:53,17.3750
2025/07/14,22:16:53,17.3125
2025/07/14,22:27:17,17.1250
2025/07/14,22:37:17,17.0000
2025/07/14,22:47:17,16.8125
2025/07/14,22:57:17,16.7500
2025/07/14,23:07:41,16.6875
2025/07/14,23:17:41,16.6250
2025/07/14,23:28:05,16.6250
2025/07/14,23:38:05,16.5625
2025/07/14,23:48:05,16.4375
2025/07/14,23:58:05,16.3125
2025/07/15,00:08:29,16.3125
2025/07/15,00:18:29,16.1875
2025/07/15,00:28:29,16.1250
2025/07/15,00:38:29,16.0000
2025/07/15,00:48:29,15.9375
2025/07/15,00:58:53,15.8750
2025/07/15,01:08:53,15.8750
2025/07/15,01:18:53,15.7500
2025/07/15,01:28:53,15.6875
2025/07/15,01:39:17,15.8125
2025/07/15,01:49:17,15.8125
2025/07/15,01:59:41,15.6250
2025/07/15,02:09:41,15.7500
2025/07/15,02:19:41,15.8750
2025/07/15,02:30:05,16.1875
2025/07/15,02:40:05,16.3750
2025/07/15,02:50:05,16.6875
2025/07/15,03:00:29,16.9375
2025/07/15,03:10:29,17.0625
2025/07/15,03:20:29,17.3750
2025/07/15,03:30:53,17.5000
2025/07/15,03:40:53,17.5000
2025/07/15,03:51:17,17.4375
2025/07/15,04:41:43,17.5625
2025/07/15,04:52:07,17.9375
2025/07/15,05:02:07,18.1875
2025/07/15,05:12:31,18.3125
2025/07/15,05:22:31,18.3750
2025/07/15,05:32:31,18.3750
2025/07/15,05:42:55,18.6250
2025/07/15,05:52:55,18.8125
2025/07/15,06:03:19,19.1875
2025/07/15,06:13:19,19.5625
2025/07/15,06:23:43,19.7500
2025/07/15,06:33:43,19.8750
2025/07/15,06:43:43,19.9375
2025/07/15,06:54:07,20.1250
2025/07/15,07:04:07,20.1875
2025/07/15,07:14:29,20.3750
2025/07/15,07:24:29,20.5625
2025/07/15,07:34:53,20.7500
2025/07/15,07:44:53,21.0000
2025/07/15,07:55:17,21.0625
2025/07/15,08:05:17,21.2500
2025/07/15,08:15:17,21.5625
2025/07/15,08:25:17,21.6875
2025/07/15,08:35:41,21.7500
2025/07/15,08:45:41,21.8125
2025/07/15,08:55:41,23.5000
2025/07/15,09:06:05,23.8125
2025/07/15,09:16:05,25.4375
2025/07/15,09:26:29,27.1250
2025/07/15,09:36:29,28.2500
2025/07/15,09:46:53,31.8750
2025/07/15,09:56:53,35.9375
2025/07/15,10:07:17,36.8750
2025/07/15,10:17:17,38.1250
2025/07/15,10:27:17,37.3125
2025/07/15,10:37:17,36.8750
2025/07/15,10:47:41,34.8750
2025/07/15,10:57:41,32.6250
2025/07/15,11:07:41,33.5625
2025/07/15,11:18:05,36.1875
2025/07/15,11:28:05,35.6875
2025/07/15,11:38:29,35.1250
2025/07/15,11:48:29,33.3750
2025/07/15,11:58:29,32.0000
2025/07/15,12:08:53,32.3750
2025/07/15,12:18:53,32.8125
2025/07/15,12:28:53,31.9375
2025/07/15,12:39:17,31.0625
2025/07/15,12:49:17,30.1250
2025/07/15,12:59:17,29.6250
2025/07/15,13:09:41,29.6875
2025/07/15,13:19:41,29.5000
2025/07/15,13:29:41,29.4375
2025/07/15,13:40:05,29.4375
2025/07/15,13:50:05,29.7500
2025/07/15,14:00:05,29.5000
2025/07/15,14:10:29,29.0625
2025/07/15,14:20:29,28.7500
2025/07/15,14:30:53,28.5000
2025/07/15,14:40:53,28.3750
2025/07/15,14:50:53,28.1250
2025/07/15,15:00:53,27.8750
2025/07/15,15:11:17,27.3125
2025/07/15,15:21:17,26.6250
2025/07/15,15:31:41,26.1875
2025/07/15,15:41:41,25.8125
2025/07/15,15:52:05,25.5000
2025/07/15,16:02:05,25.3125
2025/07/15,16:12:05,25.0625
2025/07/15,16:22:05,24.8750
2025/07/15,16:32:05,24.8750
2025/07/15,16:42:29,24.7500
2025/07/15,16:52:29,24.5000
2025/07/15,17:02:29,24.1875
2025/07/15,17:12:53,24.0000
2025/07/15,17:22:53,23.6875
2025/07/15,17:33:17,23.3750
2025/07/15,17:43:17,23.0625
2025/07/15,17:53:41,22.8125
2025/07/15,18:03:41,22.5000
2025/07/15,18:13:41,22.3125
2025/07/15,18:24:05,22.0000
2025/07/15,18:34:05,21.6250
2025/07/15,18:44:05,21.2500
2025/07/15,18:54:29,20.8750
2025/07/15,19:04:29,20.5000
2025/07/15,19:14:53,20.1875
2025/07/15,19:24:53,19.9375
2025/07/15,19:34:53,19.6875
2025/07/15,19:44:53,19.4375
2025/07/15,19:55:17,19.3750
2025/07/15,20:05:17,19.2500
2025/07/15,20:15:17,18.9375
2025/07/15,20:25:17,18.7500
2025/07/15,20:35:41,18.6250
2025/07/15,20:45:41,18.3750
2025/07/15,20:56:05,18.1875
2025/07/15,21:06:05,18.0625
2025/07/15,21:16:29,17.8750
2025/07/15,21:26:29,17.7500
2025/07/15,21:36:29,17.5625
2025/07/15,21:46:53,17.5000
2025/07/15,21:56:53,17.4375
2025/07/15,22:07:17,17.4375
2025/07/15,22:17:17,17.4375
2025/07/15,22:27:17,17.0625
2025/07/15,22:37:41,16.9375
2025/07/15,22:47:41,16.8750
2025/07/15,22:57:41,16.8125
2025/07/15,23:07:41,16.6875
2025/07/15,23:18:05,16.6250
2025/07/15,23:28:05,16.5000
2025/07/15,23:38:05,16.3750
2025/07/15,23:48:29,16.2500
2025/07/15,23:58:29,16.1875
2025/07/16,00:08:53,16.1250
2025/07/16,00:18:53,16.2500
2025/07/16,00:29:17,16.0000
2025/07/16,00:39:17,15.9375
2025/07/16,00:49:17,15.8125
2025/07/16,00:59:17,15.7500
2025/07/16,01:09:17,15.6250
2025/07/16,01:19:41,15.5625
2025/07/16,01:29:41,15.5000
2025/07/16,01:40:05,15.3750
2025/07/16,01:50:05,15.4375
2025/07/16,02:00:05,15.5000
2025/07/16,02:10:29,15.3750
2025/07/16,02:20:29,15.3750
2025/07/16,02:30:53,15.2500
2025/07/16,02:40:53,15.1875
2025/07/16,02:51:17,15.1250
2025/07/16,03:01:17,15.1250
2025/07/16,03:11:41,15.1875
2025/07/16,03:21:41,15.2500
2025/07/16,03:31:41,15.3125
2025/07/16,03:42:05,15.6875
2025/07/16,03:52:05,15.7500
2025/07/16,04:41:43,17.1250
2025/07/16,04:52:07,17.3750
2025/07/16,05:02:07,17.6875
2025/07/16,05:12:07,18.0000
2025/07/16,05:22:31,18.2500
2025/07/16,05:32:31,18.5625
2025/07/16,05:42:55,18.8125
2025/07/16,05:52:55,19.3125
2025/07/16,06:02:55,19.8125
2025/07/16,06:13:19,20.0000
2025/07/16,06:23:19,20.2500
2025/07/16,06:33:19,20.5625
2025/07/16,06:43:19,20.8125
2025/07/16,06:53:43,20.9375
2025/07/16,07:03:43,21.1875
2025/07/16,07:13:43,21.4375
2025/07/16,07:24:07,21.6250
2025/07/16,07:34:07,21.8125
2025/07/16,07:44:07,21.8750
2025/07/16,07:54:31,22.1875
2025/07/16,08:04:31,22.2500
2025/07/16,08:14:55,22.8750
2025/07/16,08:24:55,23.2500
2025/07/16,08:35:19,23.3125
2025/07/16,08:45:19,23.5000
2025/07/16,08:55:19,25.1250
2025/07/16,09:05:19,25.1875
2025/07/16,09:15:19,25.6875
2025/07/16,09:25:41,25.7500
2025/07/16,09:35:41,25.8750
2025/07/16,09:45:41,26.4375
2025/07/16,09:56:05,30.2500
2025/07/16,10:06:05,33.4375
2025/07/16,10:16:05,36.1250
2025/07/16,10:26:05,38.1875
2025/07/16,10:36:29,39.6875
2025/07/16,10:46:29,40.0000
2025/07/16,10:56:29,39.0625
2025/07/16,11:06:53,40.3750
2025/07/16,11:16:53,39.3125
2025/07/16,11:26:53,36.9375
2025/07/16,11:36:53,35.4375
2025/07/16,11:46:53,34.0625
2025/07/16,11:56:53,33.2500
2025/07/16,12:06:53,32.4375
2025/07/16,12:17:17,32.6250
2025/07/16,12:27:17,32.6875
2025/07/16,12:37:17,32.5000
2025/07/16,12:47:41,31.8750
2025/07/16,12:57:41,31.7500
2025/07/16,13:08:05,31.6250
2025/07/16,13:18:05,31.5000
2025/07/16,13:28:29,31.1250
2025/07/16,13:38:29,31.0000
2025/07/16,13:48:29,31.1250
2025/07/16,13:58:53,31.1250
2025/07/16,14:08:53,30.3750
2025/07/16,14:19:17,29.3750
2025/07/16,14:29:17,28.5000
2025/07/16,14:39:41,28.0625
2025/07/16,14:49:41,27.6250
2025/07/16,15:00:05,27.3125
2025/07/16,15:10:05,26.9375
2025/07/16,15:20:29,26.5625
2025/07/16,15:30:29,26.1250
2025/07/16,15:40:53,25.6875
2025/07/16,15:50:53,25.4375
2025/07/16,16:00:53,25.1250
2025/07/16,16:10:53,24.8750
2025/07/16,16:21:17,24.6875
2025/07/16,16:31:17,24.5625
2025/07/16,16:41:41,24.1875
2025/07/16,16:51:41,23.9375
2025/07/16,17:02:05,23.6875
2025/07/16,17:12:05,23.5000
2025/07/16,17:22:05,23.1875
2025/07/16,17:32:05,22.9375
2025/07/16,17:42:29,22.7500
2025/07/16,17:52:29,22.5625
2025/07/16,18:02:29,22.3750
2025/07/16,18:12:53,22.3125
2025/07/16,18:22:53,22.2500
2025/07/16,18:32:53,22.0000
2025/07/16,18:43:17,21.8750
2025/07/16,18:53:17,21.6875
2025/07/16,19:03:41,21.5625
2025/07/16,19:13:41,21.5000
2025/07/16,19:24:05,21.3750
2025/07/16,19:34:05,21.2500
2025/07/16,19:44:05,21.0625
2025/07/16,19:54:29,21.2500
2025/07/16,20:04:29,21.1875
2025/07/16,20:14:53,21.0000
2025/07/16,20:24:53,20.9375
2025/07/16,20:34:53,20.7500
2025/07/16,20:44:53,20.7500
2025/07/16,20:55:17,20.5000
2025/07/16,21:05:17,20.4375
2025/07/16,21:15:17,20.3750
2025/07/16,21:25:17,20.2500
2025/07/16,21:35:41,20.1875
2025/07/16,21:45:41,20.0000
2025/07/16,21:55:41,20.0000
2025/07/16,22:06:05,19.9375
2025/07/16,22:16:05,19.7500
2025/07/16,22:26:29,19.6875
2025/07/16,22:36:29,19.5625
2025/07/16,22:46:29,19.4375
2025/07/16,22:56:53,19.3750
2025/07/16,23:06:53,19.3750
2025/07/16,23:16:53,19.3125
2025/07/16,23:27:17,19.3125
2025/07/16,23:37:17,19.3750
2025/07/16,23:47:41,19.2500
2025/07/16,23:57:41,19.1875
2025/07/17,00:07:41,19.0625
2025/07/17,00:18:05,19.0625
2025/07/17,00:28:05,18.9375
2025/07/17,00:38:29,19.0000
2025/07/17,00:48:29,18.9375
2025/07/17,00:58:29,18.9375
2025/07/17,01:08:53,19.0625
2025/07/17,01:18:53,19.0625
2025/07/17,01:28:53,18.9375
2025/07/17,01:39:17,18.8125
2025/07/17,01:49:17,18.8750
2025/07/17,01:59:17,18.7500
2025/07/17,02:09:41,18.7500
2025/07/17,02:19:41,18.7500
2025/07/17,02:29:41,18.6875
2025/07/17,02:40:05,18.6875
2025/07/17,02:50:05,18.8750
2025/07/17,03:00:29,18.8125
